cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],
2002-06-10 06:50:00,286.800,5.348,285.317,97825.000,287.142,285.885,285.563,285.386,285.230,97942.769,97790.936,97709.023,97650.496,97591.959,
2002-06-10 06:55:00,286.877,5.689,285.283,97832.500,287.279,285.865,285.535,285.355,285.197,97942.783,97790.966,97709.046,97650.512,97591.969,
2002-06-10 07:00:00,286.742,5.689,285.250,97840.000,287.089,285.817,285.493,285.315,285.158,97942.873,97791.006,97709.073,97650.531,97591.980,
2002-06-10 07:05:00,286.822,5.689,285.292,97845.833,287.224,285.813,285.484,285.305,285.147,97942.861,97791.015,97709.081,97650.536,97591.983,
2002-06-10 07:10:00,286.719,5.689,285.333,97851.667,287.070,285.791,285.467,285.291,285.135,97942.909,97791.030,97709.090,97650.542,97591.986,
2002-06-10 07:15:00,286.814,5.689,285.375,97857.500,287.216,285.800,285.467,285.287,285.128,97942.883,97791.033,97709.094,97650.546,97591.989,
2002-06-10 07:20:00,286.727,5.689,285.417,97863.333,287.082,285.784,285.454,285.274,285.116,97942.924,97791.046,97709.103,97650.552,97591.992,
2002-06-10 07:25:00,286.825,5.689,285.458,97869.167,287.229,285.798,285.456,285.271,285.108,97942.894,97791.048,97709.107,97650.557,97591.996,
2002-06-10 07:30:00,286.749,5.689,285.500,97875.000,287.110,285.786,285.445,285.259,285.095,97942.929,97791.060,97709.116,97650.563,97591.999,
2002-06-10 07:35:00,286.851,5.689,285.542,97880.833,287.258,285.803,285.448,285.256,285.087,97942.897,97791.062,97709.120,97650.567,97592.003,
2002-06-10 07:40:00,286.786,5.689,285.583,97886.667,287.155,285.795,285.438,285.244,285.073,97942.927,97791.073,97709.129,97650.574,97592.007,
