Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),WaterSystems:NaturalGas [J](Hourly) 
 06/10  04:00:00,72729626.22737801,0.0,0.0,19471919.183650862,23169600.0,27266590.80447863,2821516.239117798,0.0001307326683748404,75587854.47172967,72111119.75028577,3476734.7214438855 
 06/10  05:00:00,79525723.36613543,0.0,0.0,27381883.054540057,13515600.0,35695631.795797795,2932608.51491512,0.0008824459252663708,92505851.25477487,75089621.099235,17416230.155539867 
 06/10  06:00:00,85077146.15457664,0.0,0.0,29139652.803626556,0.0,53083565.932743855,2853927.415134016,0.0030722192115334663,131046385.59065905,73023534.09482948,58022851.49582952 
 06/10  07:00:00,95542600.35078585,0.0,0.0,27343670.668690365,0.0,65388425.55466861,2810504.124158628,0.0032683183101427904,133497699.69228879,71838430.50874287,61659269.183545925 
 06/10  08:00:00,96037786.30490947,0.0,0.0,23919589.281910922,0.0,67967412.13473806,4150784.885122939,0.003137585577737081,135533046.80814746,76298056.08425106,59234990.72389644 
 06/10  09:00:00,85801373.76331003,0.0,0.0,21894332.83187647,0.0,59827593.95937547,4079446.969312728,0.002745387380519945,126076844.4012308,74114689.056283,51962155.34494778 
 06/10  10:00:00,74934154.69811943,0.0,235.3054196210643,21894332.83187647,0.0,49327737.828430556,3711848.729908919,0.0024839219157085216,111412283.39932042,64298684.97367165,47113598.42564876 
 06/10  11:00:00,75193063.64996207,0.0,139374.6201753908,21894332.83187647,0.0,49857589.98273835,3301766.2131781676,0.0019936741691871022,91481074.73500164,53458520.53303863,38022554.201963015 
 06/10  12:00:00,73399330.16670403,0.0,208177.5033595376,21196991.736597914,0.0,49081841.697339155,2912319.2276752717,0.0017322087043756798,76511592.45861585,43337595.17595188,33173997.282663967 
 06/10  13:00:00,72636261.22605458,0.0,438914.6002019391,21894332.83187647,0.0,47738181.365507215,2564832.4269328406,0.001536109605767112,63971747.94654415,34434168.35335447,29537579.59318967 
 06/10  14:00:00,71916229.89467992,0.0,534442.1036329538,21894332.83187647,0.0,47208329.211199425,2279125.746631111,0.0013400105071585443,53116179.71925175,27215017.815536372,25901161.903715376 
 06/10  15:00:00,76638183.35602142,0.0,584705.6279268963,25218810.400800925,0.0,48797885.67412279,2036781.6516347656,0.001536109605767112,50704896.861495875,21167317.26830619,29537579.59318967 
 06/10  16:00:00,103219873.20996734,0.0,620586.683332552,34122296.303782485,0.0,66715671.965376586,1761318.2556781108,0.0017975750705785361,48722527.72933232,14336391.216843573,34386136.51248873 
 06/10  17:00:00,120519157.33797973,0.0,289409.4558266781,35865032.71317486,0.0,83933250.955441,431464.2111513452,0.0023858723664042392,53894824.94000807,8599435.359096441,45295389.58091164 
 06/10  18:00:00,128099695.66112491,0.0,458272.5799810816,44004270.89916226,0.0,83236545.25068206,400606.92848879547,0.0028107537467227995,59843845.305367514,6669550.730594956,53174294.574772574 
 06/10  19:00:00,124579157.03098561,0.0,301548.7732669211,50003615.47756618,0.0,73747799.95074739,526192.8267250869,0.0026800210143170886,61625817.46603733,10875801.350914272,50750016.11512306 
 06/10  20:00:00,123050474.71740937,0.0,48229.8570391514,50538588.87946207,0.0,71628391.33351626,835264.6449406814,0.0024512387326070945,66929305.58332197,20421776.772585597,46507528.81073639 
 06/10  21:00:00,121318717.14711863,0.0,0.0,38769174.03775253,17377200.0,63729202.49650488,1443140.610867565,0.0019936741691871022,74289456.09435266,36266901.89238964,38022554.201963015 
 06/10  22:00:00,102897407.40206861,0.0,0.0,26999759.196043,23169600.0,50531492.1164157,2196556.0878777024,0.0017322087043756798,88972368.92286672,55798371.64020276,33173997.282663967 
 06/10  23:00:00,82444852.84464812,0.0,0.0,18440184.765708823,23169600.0,37863633.89063428,2971434.187357192,0.000947812309941409,95046539.86471725,76418213.33995049,18628326.52476677 
 06/10  24:00:00,69805851.41322155,0.0,0.0,14886432.881686116,23169600.0,28085665.774742994,3664152.7565309727,0.00026146546481142335,100936202.54604715,95035337.9344404,5900864.611606748 
 06/11  01:00:00,68175172.64220308,0.0,0.0,14886432.881686116,23169600.0,25966257.157511864,4152882.6028744145,0.00013064590197590925,111692615.85717995,108218939.1991283,3473676.658051668 
 06/11  02:00:00,67587485.22688052,0.0,0.0,14886432.881686116,23169600.0,24906552.848896295,4624899.496265428,0.00003266157125793656,122466478.16901855,120809050.43199176,1657427.7370267892 
 06/11  03:00:00,67509493.14820026,0.0,0.0,14886432.881686116,23169600.0,24376700.694588523,5076759.571892963,0.000032661588094223904,134416333.49070954,132758944.8179642,1657388.6727453554 
 06/11  04:00:00,75334717.91501363,0.0,0.0,19471919.183650862,23169600.0,27266590.80447863,5426607.926753499,0.00013064643736827454,145556541.85372755,142084107.44009468,3472434.4136328786 
 06/11  05:00:00,82071322.71420914,0.0,0.0,27381883.054540057,13515600.0,35695631.795797795,5478207.86298942,0.0008818638628581973,160799081.76285732,143411871.4431902,17387210.31966715 
 06/11  06:00:00,87174963.41858129,0.0,0.0,29139652.803626556,0.0,53083565.932743855,4951744.6791406805,0.0030701927716403274,186954728.23428127,129032907.83350429,57921820.40077698 
 06/11  07:00:00,96513063.57843202,0.0,0.0,27343670.668690365,0.0,65388425.55466861,3780967.3518069503,0.003266162523022431,158634096.44142744,97082307.14623629,61551789.2951912 
 06/11  08:00:00,96117580.99771947,0.0,0.0,23919589.281910922,0.0,67967412.13473806,4230579.577935014,0.0031355160221015342,136495489.5359309,77363679.5048551,59131810.03107583 
 06/11  09:00:00,85368231.8666426,0.0,6029.459533892928,21894332.83187647,0.0,59827593.95937547,3640275.6131132096,0.002743576519338842,113559899.60976845,61688027.37103863,51871872.23872983 
 06/11  10:00:00,74444669.64746726,0.0,178084.441817187,21894332.83187647,0.0,49327737.828430556,3044514.542860805,0.002482283517497047,93310159.07530712,46278245.36480798,47031913.71049913 
 06/11  11:00:00,74781502.16496687,0.0,351055.2888303145,21894332.83187647,0.0,49857589.98273835,2678524.0595293706,0.0019923591390436832,74984962.92582914,37027971.45576254,37956991.47006661 
 06/11  12:00:00,73091071.9399147,0.0,355275.08583156695,21196991.736597914,0.0,49081841.697339155,2456963.4184150603,0.0017310661372018877,64612412.11316183,31495379.171325907,33117032.941835925 
 06/11  13:00:00,72460996.16311447,0.0,552577.2060128063,21894332.83187647,0.0,47738181.365507215,2275904.7581828823,0.0015350963858205425,56468524.57277987,26981460.527116943,29487064.045662936 
 06/11  14:00:00,71887796.83415617,0.0,615516.8022905143,21894332.83187647,0.0,47208329.211199425,2169617.987450696,0.001339126634439196,50218030.12623362,24360934.976743717,25857095.149489906 
 06/11  15:00:00,76743763.00237027,0.0,660452.341518164,25218810.400800925,0.0,48797885.67412279,2066614.5843933332,0.0015350963858205425,51331388.75448146,21844324.70881853,29487064.045662936 
 06/11  16:00:00,103417435.12567088,0.0,693785.2059836308,34122296.303782485,0.0,66715671.965376586,1885681.6487317802,0.0017963893876623376,51715910.49349927,17388887.91960566,34327022.57389362 
 06/11  17:00:00,120165005.0579123,0.0,0.0,35865032.71317486,0.0,83933250.955441,366721.38691217743,0.002384298641806375,54227800.49352672,9010871.231114082,45216929.26241264 
 06/11  18:00:00,127448425.26118183,0.0,69175.6266587832,44004270.89916226,0.0,83236545.25068206,138433.48186985654,0.00280889976979929,56013259.684292726,2931397.8135052766,53081861.87078745 
 06/11  19:00:00,123954908.93157122,0.0,38062.06495187794,50003615.47756618,0.0,73747799.95074739,165431.4356275066,0.002678253268878392,54470591.88441925,3808709.2777471105,50661882.60667213 
 06/11  20:00:00,122614401.61416289,0.0,0.0,50538588.87946207,0.0,71628391.33351626,447421.39873498,0.002449621892266822,57483506.171614185,11056587.277143905,46426918.894470274 
 06/11  21:00:00,120637819.34311,0.0,0.0,38769174.03775253,17377200.0,63729202.49650488,762242.8068602285,0.0019923591390436832,56851611.37044815,18894619.90038154,37956991.47006661 
 06/11  22:00:00,102237170.460944,0.0,0.0,26999759.196043,23169600.0,50531492.1164157,1536319.1467542246,0.0017310661372018877,71694985.07258017,38577952.130744256,33117032.941835925 
 06/11  23:00:00,82033936.69810861,0.0,0.0,18440184.765708823,23169600.0,37863633.89063428,2560518.040818328,0.0009471871316765042,83954100.10476936,65356942.74762547,18597157.35714389 
 06/11  24:00:00,69619009.10175617,0.0,0.0,14886432.881686116,23169600.0,28085665.774742994,3477310.445065782,0.00026129300184179436,95888824.86015618,89996558.63961782,5892266.220538369 
