,tpr_air2m_c13_cal_%60'_celsius,pre_air_c13_cal_%60'_hPa,'hum_relcapa_c13_cal_%60'_percent,prp_intensrr_c13_cal_%60'_millimeter/hour,'ven_ddmoy_c13_cal_%60'_degre,ven_ffmoy_c13_cal_%60'_m/s,flx_rvd_c13_cal_%60'_watt/m2,flx_rvm_c13_cal_%60'_watt/m2,flx_ird_c13_%60'_watt/m2,flx_irm_c13_%60'_watt/m2
1/7/2004 21:00,2.751166667,994.1283333,92.75,0,94.58333333,1.33,-0.370833333,0.058666667,294.0396667,317.4395
1/7/2004 22:00,2.476166667,994.1733333,92.38333333,0,111.2333333,1.13,-0.426166667,0.051333333,297.1446667,316.8758333
1/7/2004 23:00,1.923166667,994.0016667,90.61666667,0,172.6166667,0.805,-0.550666667,0.061666667,295.525,315.9755
1/8/2004 0:00,1.218333333,993.6816667,93.3,0,108.6333333,0.835,-0.436,0.058666667,296.4831667,314.5108333
1/8/2004 1:00,0.895166667,993.1316667,94.75,0,98.8,1.256666667,-0.3415,0.066,297.6385,313.7005
1/8/2004 2:00,0.942333333,992.6116667,94.06666667,0,102.1,1.075,-0.3095,0.0385,298.2626667,313.4986667
1/8/2004 3:00,0.652,992.05,93.43333333,0,97.11666667,1.103333333,-0.3685,0.040333333,297.5866667,312.7238333
1/8/2004 4:00,0.1595,992.255,93.31666667,0,129.5666667,0.546666667,-0.569833333,0.034,296.1353333,311.1615
1/8/2004 5:00,0.397,992.0066667,93.9,0,131.7166667,1.021666667,-0.3785,0.039666667,296.7948333,311.2328333
1/8/2004 6:00,0.381,991.605,91.61666667,0,107.0166667,1.44,-0.379,0.045166667,297.4721667,311.0163333
1/8/2004 7:00,1.139833333,991.315,90.05,0,109.35,2.175,13.44316667,2.797333333,302.1275,313.182
1/8/2004 8:00,1.8205,991.0483333,88.53333333,0.1,126.9833333,2.495,98.03766667,18.24383333,301.8991667,316.5085
1/8/2004 9:00,4.6215,990.8766667,81.56666667,0,158.7166667,4.88,251.2336667,41.51316667,295.5813333,325.1983333
1/8/2004 10:00,5.823166667,990.3666667,81.06666667,0,163.1333333,6.818333333,248.9055,38.95883333,280.1685,333.194
1/8/2004 11:00,7.843166667,989.3983333,77.01666667,0,153.2833333,5.628333333,390.7403333,62.49683333,262.7125,348.9525
1/8/2004 12:00,9.412333333,988.2183333,73.11666667,0,153.9833333,5.01,378.9421667,60.5955,270.8436667,357.7448333
1/8/2004 13:00,9.335333333,987.505,72.95,0,148.85,4.038333333,198.6705,30.84133333,294.3705,354.3965
1/8/2004 14:00,8.967166667,988.3666667,73.25,0,165.85,4.281666667,146.0425,22.97,314.959,353.3608333
1/8/2004 15:00,8.379666667,989.3366667,75.83333333,0,175.6166667,5.753333333,27.17,3.954333333,335.0331667,348.993
1/8/2004 16:00,7.768166667,988.4866667,78.75,0,170.9333333,8.296666667,4.1985,0.584166667,325.0623333,344.6313333
1/8/2004 17:00,7.532666667,988.66,80.08333333,0,165.3166667,7.005,-0.1885,-0.001833333,326.9898333,343.102
1/8/2004 18:00,7.475833333,988.67,80.51666667,0,165.9333333,4.815,-0.1535,0,335.0681667,343.2016667
1/8/2004 19:00,7.387333333,989.6033333,80.43333333,0,189.7,3.43,-0.135333333,0,336.3931667,342.5635
1/8/2004 20:00,7.028833333,989.3166667,83.31666667,0,191.2333333,4.291666667,-0.1695,-0.023833333,336.318,342.2166667
1/8/2004 21:00,7.026,989.9133333,84.1,0,182.1,1.98,-0.093333333,-0.009166667,343.108,342.3811667
1/8/2004 22:00,6.8885,990.6533333,85.76666667,0.1,179.85,1.486666667,-0.113833333,-0.042166667,343.9511667,342.7141667
1/8/2004 23:00,6.566833333,991.1116667,90.6,1.6,210.4666667,3.285,-0.048333333,0.089833333,345.2073333,342.601
1/9/2004 0:00,6.611,991.49,91.96666667,0,200.6333333,3.891666667,-0.05,0.051333333,342.8841667,342.9908333
1/9/2004 1:00,7.532833333,991.5333333,92.16666667,0,218.3833333,2.953333333,-0.1435,0.088,334.9046667,344.2871667
1/9/2004 2:00,8.116166667,991.7416667,93.25,0,218.2833333,3.126666667,-0.109,0.054833333,338.9405,345.9033333
1/9/2004 3:00,8.929833333,991.3016667,93.23333333,0,216.0166667,3.546666667,-0.115,0.011,342.9646667,349.4646667
