,Urban_MNP_19m_5min_tdb_c,Rural_MNP_1p2m_5min_tdb_c,Rural_MNP_1p2m_5min_Sta_pa,Bypass_Direct,Bypass_Real_P0,Bypass_RealEPW
2004-06-15 05:00:00,15.046,12.996,99790.0,20.79520464637693,20.874563754111932,21.051393740365313
2004-06-15 05:05:00,15.057999999999998,12.962,99792.0,24.716606670426813,24.796649962458787,24.97583873956097
2004-06-15 05:10:00,14.982,12.968,99788.0,24.6500688828379,24.73085618017268,24.910005388085608
2004-06-15 05:15:00,15.018,13.057999999999998,99792.0,21.488254072976247,21.56972711573752,21.746975181780215
2004-06-15 05:20:00,15.154,13.184,99792.0,18.739222978213718,18.821552016014778,18.99714729577704
2004-06-15 05:25:00,15.094,13.288,99790.0,16.64691903786013,16.730034593252185,16.904372008731286
2004-06-15 05:30:00,15.175999999999998,13.476,99786.0,15.641532965777799,15.725097412997115,15.898830446905151
2004-06-15 05:35:00,15.21,13.624,99778.0,15.291060377272515,15.374862879585578,15.548385278140813
2004-06-15 05:40:00,15.306,13.764,99780.0,15.232439531918715,15.316295355064653,15.489782530390812
2004-06-15 05:45:00,15.252,13.948,99776.0,15.299095382561802,15.382936070276173,15.556463324147444
2004-06-15 05:50:00,15.334,14.162,99786.0,15.386865411743543,15.470669484761402,15.644249502586433
2004-06-15 05:55:00,15.376,14.394,99804.0,15.469300060185105,15.553058214305452,15.72668778172499
2004-06-15 06:00:00,15.518,14.580000000000002,99818.0,15.527474700670098,15.611183754952435,15.761665867693011
2004-06-15 06:05:00,15.666,14.718,99824.0,15.735531870652835,15.819217171781816,15.969807696974726
2004-06-15 06:10:00,15.784,14.88,99826.0,15.571185589099912,15.654877991991043,15.805382875108933
2004-06-15 06:15:00,15.974,15.196000000000002,99828.0,15.50808510117804,15.591775835918043,15.742247834609884
2004-06-15 06:20:00,16.034,15.316,99824.0,15.521579899855794,15.605254165678446,15.755733188332215
2004-06-15 06:25:00,16.184,15.418,99816.0,15.5686029600771,15.652251140055341,15.802754654241937
2004-06-15 06:30:00,16.216,15.566,99818.0,15.612873808851418,15.696492202738511,15.847018772269564
2004-06-15 06:35:00,16.104,15.802,99818.0,15.661103196593615,15.744688794380409,15.895240480600819
2004-06-15 06:40:00,16.252000000000002,16.05,99824.0,15.70874832879781,15.792299036583756,15.942875533929168
2004-06-15 06:45:00,16.351999999999997,16.168,99830.0,15.763476363874418,15.846989389954729,15.997594388083428
2004-06-15 06:50:00,16.524,16.502,99836.0,15.826990510682208,15.91046295597863,16.06110103208613
2004-06-15 06:55:00,16.676,16.694,99840.0,15.89720865306981,15.98063781203166,16.131312458361208
2004-06-15 07:00:00,16.756,17.0,99838.0,16.01431827003813,16.09769757224649,16.231851585316463
2004-06-15 07:05:00,17.05,17.298,99838.0,16.326414782593133,16.409744086288413,16.544042827535748
2004-06-15 07:10:00,17.304000000000002,17.156,99844.0,16.473328627671208,16.556621727913182,16.690988591483517
2004-06-15 07:15:00,17.472,17.242,99838.0,16.293076659729934,16.376374452069285,16.510657716372975
2004-06-15 07:20:00,17.384,17.357999999999997,99838.0,16.342732411710244,16.426017166150757,16.560323454905074
2004-06-15 07:25:00,17.802,17.604000000000003,99836.0,16.467381879446236,16.550638638893304,16.685002727487756
2004-06-15 07:30:00,18.03,18.052,99838.0,16.577740709030536,16.66096592365892,16.795381182403048
2004-06-15 07:35:00,17.996000000000002,18.112,99834.0,16.662887663965137,16.746084060798978,16.88053879760912
2004-06-15 07:40:00,18.178,18.216,99834.0,16.74148772343551,16.824656479995667,16.959147658946677
2004-06-15 07:45:00,18.024,18.32,99822.0,16.825559099807037,16.908698684965486,17.043228842961696
2004-06-15 07:50:00,18.204,18.334,99818.0,16.917190434278325,17.000298099113024,17.13487074121224
2004-06-15 07:55:00,18.272,18.332,99816.0,17.009103768574107,17.09217753784378,17.226792793922414
2004-06-15 08:00:00,18.62,18.604,99814.0,17.0934018747771,17.17644057925378,17.331067604384543
2004-06-15 08:05:00,18.69,18.67,99822.0,17.188581690206547,17.2715685433123,17.426246233322445
2004-06-15 08:10:00,18.714,18.71,99828.0,17.354492529234108,17.43741807738536,17.592184098379107
2004-06-15 08:15:00,18.832,19.178,99822.0,17.450222582177446,17.5330920007533,17.687908977402742
2004-06-15 08:20:00,18.98,19.366,99818.0,17.58027368488905,17.663082960844804,17.81796917030482
2004-06-15 08:25:00,19.224,19.506,99814.0,17.796424077677216,17.87916690690099,18.03416820204768
2004-06-15 08:30:00,19.762,19.518,99814.0,17.985084782250397,18.067759779483595,18.222861518650348
2004-06-15 08:35:00,19.78,19.69,99816.0,18.162919244495015,18.24552452216267,18.40072093831884
2004-06-15 08:40:00,19.686,19.958,99818.0,18.423529325201798,18.50605838649085,18.66139356223198
2004-06-15 08:45:00,19.906,20.114,99816.0,18.69990256578194,18.78235192635259,18.937834255236396
2004-06-15 08:50:00,19.768,20.184,99810.0,18.882288030525615,18.96466127423082,19.12024070054764
2004-06-15 08:55:00,19.842,20.282,99814.0,19.14334357182105,19.225634683797125,19.381353103799313
2004-06-15 09:00:00,19.822,20.388,99812.0,19.470004773047833,19.55220909173289,19.70977973586855
2004-06-15 09:05:00,19.746,20.622,99810.0,19.62709201164205,19.709219274683903,19.866874442252936
2004-06-15 09:10:00,20.228,20.572,99810.0,20.008839047833533,20.090869608091452,20.248730229828595
2004-06-15 09:15:00,20.268,20.662,99812.0,20.41440346470381,20.49632730095118,20.654406193093678
2004-06-15 09:20:00,20.232,20.784,99812.0,20.55533159377262,20.63716708714776,20.79532179769933
2004-06-15 09:25:00,20.534,20.54,99814.0,20.58731275685352,20.669083898856627,20.82725579121427
2004-06-15 09:30:00,20.582,20.796,99810.0,20.703052146319237,20.78476281004339,20.942996975933568
2004-06-15 09:35:00,20.49,21.246,99806.0,20.868348189595622,20.94999210068886,21.10831521461199
2004-06-15 09:40:00,20.712,21.464,99800.0,20.926642114068045,21.008223651294827,21.166578113061178
2004-06-15 09:45:00,20.718,21.822,99798.0,21.075894355384207,21.157404149555703,21.315838919794146
2004-06-15 09:50:00,20.89,21.718,99786.0,21.320715060234534,21.402144769680035,21.56071129135728
2004-06-15 09:55:00,20.708,21.78,99780.0,21.47451967584641,21.55587015823062,21.714519435034788
2004-06-15 10:00:00,21.312,21.726,99772.0,21.601592609455395,21.682864933896155,21.875401892016384
2004-06-15 10:05:00,21.47,22.0,99772.0,21.827302879810645,21.9084910905396,22.101175391032598
2004-06-15 10:10:00,21.578,22.236,99776.0,22.25936553759584,22.340447196227103,22.533413580315653
2004-06-15 10:15:00,21.59,22.148,99770.0,22.6764131950153,22.75737278585558,22.950611438046963
2004-06-15 10:20:00,21.65,22.376,99762.0,22.988782159370146,23.069623520449568,23.263066084123523
2004-06-15 10:25:00,21.812,22.52,99758.0,23.234871047440606,23.315605354343575,23.509208553413657
2004-06-15 10:30:00,21.83,22.274,99752.0,23.46820431232163,23.54883799641067,23.74259350517474
2004-06-15 10:35:00,21.792,22.586,99758.0,23.693017416122302,23.773551907515184,23.967454162921342
2004-06-15 10:40:00,21.77,22.534,99754.0,23.91222069969774,23.99265630870184,24.186701647528935
2004-06-15 10:45:00,21.944,22.726,99740.0,24.13067007186521,24.211006520144792,24.405194449878422
2004-06-15 10:50:00,21.91,23.01,99738.0,24.343686528997523,24.423924159153614,24.618251132119724
2004-06-15 10:55:00,22.096,22.834,99740.0,24.55687414385943,24.637012381608884,24.831478509204658
2004-06-15 11:00:00,22.072,23.32,99734.0,24.768924387893435,24.848962670481967,25.07605690186807
2004-06-15 11:05:00,22.212,22.996,99736.0,24.920511625814243,25.00047102598444,25.227680716408543
2004-06-15 11:10:00,22.466,23.024,99736.0,25.0554890109363,25.135375118880916,25.362687614834954
2004-06-15 11:15:00,22.622,22.886000000000003,99734.0,25.1973586033821,25.2771715867309,25.504592140644547
2004-06-15 11:20:00,22.862,23.388,99728.0,25.347564048065408,25.427303026188156,25.654837989841837
2004-06-15 11:25:00,23.138,23.39,99726.0,25.50054068188365,25.580204777770177,25.80785626231858
2004-06-15 11:30:00,23.128,23.33,99730.0,25.646255895761612,25.725845296029775,25.95360776794962
2004-06-15 11:35:00,23.686,23.75,99726.0,25.78704282223572,25.866557686089095,26.094427389832163
2004-06-15 11:40:00,23.522,23.918,99724.0,25.933435347844636,26.012874555632834,26.2408557621701
2004-06-15 11:45:00,23.514000000000003,23.822,99714.0,26.079710726932944,26.15907336838808,26.387165987752837
2004-06-15 11:50:00,23.322,23.654,99706.0,26.220554867571707,26.299840901852008,26.52804079506268
2004-06-15 11:55:00,23.308,24.166,99698.0,26.358828589485995,26.43803779304028,26.666343001103428
2004-06-15 12:00:00,23.456,23.992,99688.0,26.5013755749128,26.580506911837006,26.84850027525664
2004-06-15 12:05:00,23.744,24.146,99688.0,26.680650085733532,26.75971349483484,27.027867089441486
2004-06-15 12:10:00,23.65,24.066,99676.0,26.7719719571125,26.85097819406849,27.119213389757363
2004-06-15 12:15:00,23.538,23.466,99670.0,26.84890227688203,26.927856398981476,27.19616033258069
2004-06-15 12:20:00,23.4,24.044,99666.0,26.941119701331445,27.02002080539586,27.288407144518317
2004-06-15 12:25:00,23.512,24.61,99668.0,27.037644563948106,27.11649097876193,27.384963573255845
2004-06-15 12:30:00,23.918,24.242,99666.0,27.12855678584384,27.20734802579392,27.475901856882217
2004-06-15 12:35:00,23.744,24.39,99660.0,27.211579784591834,27.29031620277391,27.558944216904365
2004-06-15 12:40:00,24.236,24.822,99654.0,27.291966863651737,27.37064829937549,27.639348139590595
2004-06-15 12:45:00,24.008,24.73,99648.0,27.37015554843731,27.448781506304044,27.71755120654484
