,(m) canPres_1.5,(m) canPres_2.5,(m) canPres_3.5,(m) canPres_4.5,(m) canPres_5.5,(m) canPres_6.5,(m) canPres_7.5,(m) canPres_8.5,(m) canPres_9.5,(m) canPres_10.5,(m) canPres_11.5,(m) canPres_12.5,(m) canPres_13.5,(m) canPres_14.5
2002-06-12 19:50:00,98062.84129083845,98051.56188621266,98040.28229387007,98029.00250451369,98017.72253444449,98006.44242166732,97995.16221597801,97983.88196418893,97972.6017048132,97961.32146921007,97950.04128438188,97938.76117531567,97927.48116532584,97916.20124162066
2002-06-12 19:55:00,98062.76198532608,98051.48316658214,98040.2041876762,98028.92504796402,98017.64577097118,98006.36640053625,97995.08699075643,97983.80759103112,97972.52824120162,97961.24897328003,97949.96981463835,97938.69079053409,97927.411924469,97916.13320636604
2002-06-12 20:00:00,98062.52018861058,98051.24469958026,98039.96909426113,98028.69338536826,98017.41760765853,98006.1418141381,97994.86606574526,97983.59041601954,97972.31490689478,97961.03957132695,97949.76443710864,97938.48952969983,97927.2148726183,97915.94045968704
2002-06-12 20:05:00,98062.76918093837,98051.49184347187,98040.2143882402,98028.93680465751,98017.65910794232,98006.3813357197,97995.10353685134,97983.82575420244,97972.54801983184,97961.27035774346,97949.99278791061,97938.71532920293,97927.43799957132,97916.16078254142
2002-06-12 20:10:00,98063.25256696717,98051.96661392316,98040.68052179713,98029.39424973833,98018.10778765765,98006.82115277158,97995.53437843276,97984.24749689522,97972.9605334945,97961.67350816017,97950.38643852084,97939.09934230575,97927.81223734492,97916.52510198497
2002-06-12 20:15:00,98063.80574682308,98052.50750524622,98041.20913146481,98029.91057322787,98018.61181023848,98007.31285017155,97996.01371836483,97984.71444258303,97973.41504696864,97962.11555231063,97950.81597805933,97939.51634407604,97928.21667058064,97916.91693731816
2002-06-12 20:20:00,98064.31901236334,98053.00986650489,98041.70056024185,98030.39104719459,98019.08131066962,98007.7713595032,97996.46121897016,97985.15091775233,97973.84048219446,97962.52993593074,97951.2193012672,97939.90860056257,97928.59785623732,97917.2870498517
2002-06-12 20:25:00,98064.79024658367,98053.47203249803,98042.15360067374,98030.83490867862,98019.51594286399,98008.19671420477,97996.87724976172,97985.55758051068,97974.237735571,97962.91774145073,97951.59762312993,97940.27740530387,97928.95711245202,97917.63672664744
2002-06-12 20:30:00,98065.25032088187,98053.92359408014,98042.59658841336,98031.26926075353,98019.94159724713,98008.61360912456,97997.28532430156,97985.95677539599,97974.62799368311,97963.29900797852,97951.96984549474,97940.6405329955,97929.31109689258,97917.98151902312
2002-06-12 20:35:00,98065.71201735911,98054.37660308003,98043.04086139123,98031.70474622413,98020.3682415502,98009.03135717197,97997.69412047937,97986.35656467294,97975.01872238569,97963.68062412493,97952.34229884151,97941.00377495987,97929.66508048947,97918.32619680803
2002-06-12 20:40:00,98066.17844247248,98054.83413107465,98043.48944686598,98032.14434138805,98020.79879678997,98009.45282159228,97998.10644265043,97986.75969368001,97975.41260859247,97964.06521950396,97952.71755701263,97941.3696510996,97930.0215312585,97918.67317843284
2002-06-12 20:45:00,98066.64541032324,98055.29211984633,98043.93841409178,98032.5842425355,98021.22958563892,98009.87445059686,97998.51886360154,97987.16285881675,97975.80647144368,97964.44973524961,97953.09268251059,97941.73534476027,97930.37775294438,97919.01988765007
2002-06-12 20:50:00,98067.11254080707,98055.75028788239,98044.38757438178,98033.02434823217,98021.66058869055,98010.29630207343,97998.93151429987,97987.5662602738,97976.20057668223,97964.83449906917,97953.4680614673,97942.10129701246,97930.7342381286,97919.36686504234
2002-06-12 20:55:00,98067.57848352831,98056.20727607391,98044.83556444285,98033.46329487287,98022.09044533496,98010.7170212492,97999.34304826925,97987.96856200733,97976.5936005575,97965.21820113636,97953.8423994248,97942.46623006061,97931.08972685225,97919.71286961198
2002-06-12 21:00:00,98068.07204371906,98056.69097646339,98045.30935292935,98033.92711390996,98022.5442329009,98011.16071182661,97999.77657407278,97988.39185451705,97977.0065916385,97965.62082358132,97954.23458711144,97942.8479179382,97931.46085093812,97920.07336420282
2002-06-12 21:05:00,98068.22497239942,98056.83911844129,98045.45268936695,98034.0656446751,98022.67797361386,98011.28969080851,97999.90082989128,97988.51143463948,97977.1215514499,97965.73122538665,97954.34049909149,97942.94941312027,97931.55800633001,97920.16626356251
2002-06-12 21:10:00,98068.26649318177,98056.87981161264,98045.49253165974,98034.10462495308,98022.71609080104,98011.32695207074,97999.93724879438,97988.54702899906,97977.15634150822,97965.7652325551,97954.37374515456,97942.98191972893,97931.58979458467,97920.19735446022
2002-06-12 21:15:00,98068.28330746773,98056.89683545972,98045.50975001388,98034.12202360597,98022.73365661473,98011.34467379109,97999.95511752278,97988.56503739225,97977.17448261223,97965.78349890606,97954.39212827559,97943.00040993863,97931.60838085345,97920.21602367697
