,(m) canTemp_1.5,(m) canTemp_2.5,(m) canTemp_3.5,(m) canTemp_4.5,(m) canTemp_5.5,(m) canTemp_6.5,(m) canTemp_7.5,(m) canTemp_8.5,(m) canTemp_9.5,(m) canTemp_10.5,(m) canTemp_11.5,(m) canTemp_12.5,(m) canTemp_13.5,(m) canTemp_14.5
2002-06-28 08:05:00,289.822778680249,289.76178369191916,289.69868855167255,289.63482762705826,289.57168913614277,289.5104282997423,289.45234715443485,289.3980957241973,289.3475053857345,289.30013435464383,289.255403697724,289.21284349244297,289.1719752281354,289.1287566238449
2002-06-28 08:10:00,290.02086376067643,289.9381904356215,289.85551782290446,289.7742281273147,289.69553517796663,289.6199408759124,289.5485946814042,289.4823000015766,289.42092356228295,289.3639940248894,289.31077003975753,289.2606418905763,289.21300652758555,289.16320496218856
2002-06-28 08:15:00,289.955112473319,289.88424765197834,289.81117594472653,289.7373319803572,289.6643716140304,289.5935235359207,289.52638961234703,289.4638698978254,289.40582359481465,289.351754676235,289.3009568210843,289.2528594996042,289.2068854612599,289.1584713500624
2002-06-28 08:20:00,290.2062381101684,290.110850143759,290.01545952152424,289.92164686553394,289.8308690614204,289.7437182444152,289.6616816395903,289.58582460555743,289.51601136856107,289.45167680701155,289.3919081371978,289.33596022460364,289.28309949366445,289.22811735225
2002-06-28 08:25:00,290.16460985656676,290.08269499012164,289.99818577219384,289.91271727035706,289.82825301594954,289.74622345085646,289.6686286826934,289.59664727327714,289.5301510144229,289.4685684017675,289.4110484902082,289.35691059049356,289.3054713729241,289.25162699283993
2002-06-28 08:30:00,290.4506288776505,290.3421238042065,290.2334534744614,290.1264274366682,290.02280940765075,289.92334395331073,289.82990930454673,289.7438543023374,289.6650401279481,289.59280338978834,289.526055373171,289.4639136961677,289.40551319250574,289.3450796879904
2002-06-28 08:35:00,290.4305919195498,290.33644313428556,290.23925312481924,290.1408841677465,290.0436551288553,289.94923956883264,289.8600898596333,289.77769481289886,289.70194015642306,289.632169771389,289.5673725441451,289.5067433388404,289.4494769509435,289.38988848959207
2002-06-28 08:40:00,290.7302474109826,290.6084698138711,290.48620442425226,290.36552081690735,290.2485559004624,290.13628050882943,290.03101558662974,289.934407525097,289.84630967471395,289.76595181294414,289.69206363211345,289.623620826157,289.55962166753477,289.49372078547344
2002-06-28 08:45:00,290.7114437304516,290.60524715427283,290.49553533558117,290.3844035609452,290.274537739391,290.1678634996522,290.06729040074816,289.97461730150377,289.8897428020913,289.81192611573607,289.739996806348,289.6730263527254,289.61009046148945,289.5449453454538
2002-06-28 08:50:00,291.01445781350543,290.880247528832,290.7451959372776,290.6116109766343,290.48198943493,290.35753395252266,290.2409957611211,290.134306736443,290.03731518058424,289.9491514816315,289.8683754591518,289.79382986156344,289.7243854822796,289.65314640348356
2002-06-28 08:55:00,291.0013415957612,290.88292096309505,290.76062931741365,290.6367849902193,290.51440974399964,290.3956436512054,290.2838174536126,290.18102229323904,290.0871661275846,290.00142301036817,289.9224629537581,289.8492319004642,289.7806845740403,289.7100187540896
2002-06-28 09:00:00,291.3072329700131,291.1607705088875,291.01313541269735,290.86686441800305,290.7248015613592,290.5883822173191,290.46076796406504,290.34415633031267,290.2383854589664,290.1424862260034,290.05485368174465,289.97420095201966,289.89927450661105,289.8226236478378
2002-06-28 09:05:00,291.3015784042516,291.17067317770716,291.03562441493165,290.89897548365695,290.7640703322075,290.63324851589704,290.51023090627575,290.39737524529534,290.294588293862,290.20095392509825,290.1149823820678,290.03549300805867,289.96131898743914,289.8850956839246
2002-06-28 09:10:00,291.54798859875893,291.3925664785035,291.2353786193819,291.07923374904203,290.9273493673781,290.7814669351009,290.64508154809755,290.52055771584867,290.40771049132655,290.30549116822397,290.2121865269259,290.1264238038744,290.0468630876557,289.9655957260478
2002-06-28 09:15:00,291.5215596520858,291.3795875210059,291.2332917874339,291.08550851440464,290.93986204105755,290.79883006299514,290.6663501675721,290.5449191575091,290.4344275882379,290.33389157121564,290.24171323096357,290.15662342762346,290.07736928155646,289.99610384961727
2002-06-28 09:20:00,291.7583952752931,291.5931636230991,291.4258999909292,291.2596468430358,291.09789532576315,290.94259001013245,290.7974673228295,290.6650137535824,290.54500990212046,290.43632421185816,290.33713395962985,290.24597892392114,290.16143398258896,290.07509805149044
2002-06-28 09:25:00,291.74811778342985,291.59487765976763,291.4372109724172,291.2781876409584,291.1216824958945,290.9703172645693,290.8282628658236,290.6981631198169,290.5798867007853,290.4723694182584,290.3738901995809,290.28307735084877,290.1985761266919,290.11200877032513
2002-06-28 09:30:00,291.9757098770421,291.80068490861913,291.6232647594861,291.4466888667602,291.2747404728287,291.10961704044144,290.95534825567427,290.81457572527137,290.68705991551775,290.5715926486139,290.4662433428949,290.3694650428294,290.2797464405898,290.18817706580415
2002-06-28 09:35:00,291.96672163490535,291.80254208883434,291.6337404316293,291.46361071944665,291.29629680294255,291.1346042374425,290.9829645764079,290.8441751639699,290.7180824120981,290.6035416540577,290.4987126772592,290.40212758547125,290.31233811094,290.22044666217977
2002-06-28 09:40:00,292.18128540284755,291.9964698025528,291.80891916404596,291.622076135021,291.4400138963744,291.26517478093,291.10187167276484,290.9528942341459,290.81798009234365,290.6958437826004,290.58444716950106,290.4821568540999,290.38737614235254,290.29069756531595
2002-06-28 09:45:00,292.1762695705969,292.0011479897525,291.82124536812904,291.64008122985,291.46206373014786,291.29017824566654,291.1291023615932,290.9817737576254,290.84801187186906,290.7265902760994,290.615551091394,290.5133308549079,290.4183882312864,290.3213175735856
2002-06-28 09:50:00,292.38365393355883,292.1888044536258,291.99093263974225,291.7936882817959,291.6014287034799,291.41683333429506,291.2444844809967,291.08730845404926,290.94501429160766,290.8162356235589,290.6988250042815,290.59106070689063,290.4912590893027,290.38951805155637
2002-06-28 09:55:00,292.38489237231437,292.1987423769065,292.007654560658,291.81536825432,291.62655665715545,291.4443920170408,291.2738032662701,291.11787048413015,290.97638610989173,290.84804080731226,290.7307577195843,290.62287647373415,290.52276145057675,290.4204967091676
2002-06-28 10:00:00,292.5868601249162,292.3817634931999,292.17336966958123,291.9655350376257,291.7629019691568,291.5683892908096,291.38685205100415,291.2213549708351,291.07157768585876,290.93607098504765,290.8125756504787,290.69927950603255,290.59441015440467,290.4875662690118
